home_team,away_team,closing_spread,pred_spread,actual_margin,spread_pick,spread_result,closing_total,pred_total,actual_total,total_pick,total_result
YALE,PENN,-7.0,13.639470092872887,22.0,20.639470092872887,W,53.5,52.382081408796424,48.0,-1.1179185912035763,W
LIUSHAR,NEWHVN,-7.0,4.788999006680331,22.0,11.788999006680331,W,48.5,49.07990287253613,54.0,0.579902872536131,W
MERCYHURST,CORNELL,-6.5,8.316702805838647,-7.0,14.816702805838647,L,41.5,53.595349788311054,37.0,12.095349788311054,L
WAGNER,DUQUESNE,-27.5,5.092684552427713,11.0,32.59268455242771,W,50.5,50.19689232541727,37.0,-0.30310767458273347,W
BUCKNELL,GEORGETOWN,-1.5,15.16215611011965,-7.0,16.66215611011965,L,56.5,60.341839423421234,55.0,3.8418394234212343,L
MARIST,DRAKE,-12.5,-0.4876797979260336,-14.0,12.012320202073967,L,47.5,43.36110433942495,48.0,-4.138895660575052,L
DAYTON,PRESBYTERN,-12.5,5.205579287858117,16.0,17.705579287858118,W,48.5,52.32495234951594,54.0,3.8249523495159394,W
PRINCETON,HARVARD,-18.5,-1.1943505390658435,-21.0,17.305649460934156,L,54.5,53.609988236273026,49.0,-0.8900117637269744,W
DAVIDSON,SAN DIEGO,-26.0,0.2306569828664786,-12.0,26.230656982866478,W,58.0,62.49049491990024,68.0,4.490494919900243,W
HOLY CROSS,COLGATE,22.5,20.24190501907532,-1.0,-2.2580949809246817,W,50.5,55.72608574707506,57.0,5.226085747075061,W
CORNELL,BROWN,-2.0,7.159044435066707,6.0,9.159044435066708,W,50.0,50.89013964883221,54.0,0.8901396488322106,W
RHODE ISLD,BRYANT,-18.5,9.231653840336858,21.0,27.731653840336858,W,1.5,45.1337865061888,55.0,43.6337865061888,W
STETSON,STTHOM,-26.119999999999997,1.6825736747945044,-42.0,27.802573674794502,L,55.0,62.48832708368822,62.0,7.488327083688219,W
YNGTOWN ST,MURRAY ST,-23.0,14.344693929388535,34.0,37.344693929388534,W,63.5,67.04992824285469,68.0,3.5499282428546906,W
S DAKOTA,ILL STATE,-4.5,8.396729268853509,-8.0,12.896729268853509,L,54.5,60.5217849110807,34.0,6.021784911080701,L
NORFOLK,SCAR STATE,-14.0,0.532542768789309,-31.0,14.532542768789309,L,52.0,49.331104494348224,71.0,-2.6688955056517756,L
W GEORGIA,CENT ARK,-5.0,11.383677818523632,1.0,16.38367781852363,W,6.0,54.53365622095646,35.0,48.53365622095646,W
HAMPTON,MONMOUTH,-28.0,-2.6347694875232675,-18.0,25.36523051247673,W,69.2,68.20062282356508,38.0,-0.9993771764349191,W
FURMAN,CITADEL,-3.0,14.187910594876788,10.0,17.18791059487679,W,49.0,54.49919106184127,38.0,5.499191061841273,L
CHARLES SO,S ILLINOIS,-3.0,11.120714209110783,1.0,14.120714209110783,W,46.0,63.383496755283815,33.0,17.383496755283815,L
TENN STATE,W ILLINOIS,-3.0,2.623684151983819,-1.0,5.623684151983819,W,56.0,54.75372101057288,33.0,-1.2462789894271182,W
S ILLINOIS,N IOWA,-14.5,1.0271553867277303,14.0,15.527155386727731,W,1.5,54.39780796098864,48.0,52.89780796098864,W
TENN STATE,LAMAR,-24.92,1.7634805578296318,-27.0,26.683480557829633,L,48.5,43.957415616299485,55.0,-4.542584383700515,L
ALCORN ST,MS VLY ST,49.12,19.88287861707929,22.0,-29.23712138292071,W,-10.0,44.22437537453921,42.0,54.22437537453921,W
E KENTUCKY,TENN STATE,-23.5,10.62848245288421,-24.0,34.128482452884214,L,58.0,38.885710553432205,38.0,-19.114289446567795,W
LNDNWD,GARD-WEBB,-1.5,4.566672080689395,-28.0,6.066672080689395,L,55.0,65.57742296758754,68.0,10.577422967587538,W
N COLORADO,UC DAVIS,-10.5,2.6033296005864877,-11.0,13.103329600586488,L,57.0,60.37547010889051,43.0,3.375470108890511,L
WEBER ST,E WASHGTON,-3.0,0.7142274331151848,-3.0,3.7142274331151848,P,8.0,55.32595262331496,43.0,47.32595262331496,W
HOWARD,MORGAN ST,-1.5,11.351345486618674,6.0,12.851345486618674,W,45.5,40.771523253283256,60.0,-4.728476746716744,L
SAMFORD,CHATTNOOGA,-10.0,3.4242860016865295,-36.0,13.424286001686529,L,54.5,57.93748739517554,62.0,3.4374873951755376,W
VILLANOVA,ALBANY,-30.5,10.646680313392052,13.0,41.146680313392054,W,52.5,57.23058481705096,45.0,4.730584817050961,L
TENN STATE,WOFFORD,-8.5,2.80105175478341,4.0,11.30105175478341,W,48.5,42.27100461581743,24.0,-6.228995384182568,W
STNY BROOK,TOWSON,-3.0,14.265972127068736,8.0,17.265972127068736,W,52.5,52.026931862674,46.0,-0.4730681373260026,W
AUSTINPEAY,N ALABAMA,-18.5,5.374952297610301,28.0,23.8749522976103,W,56.0,54.346647975113825,84.0,-1.6533520248861748,L
N DAKOTA,INDIANA ST,-30.5,6.944691294236042,29.0,37.444691294236044,W,55.5,59.39405365135254,63.0,3.894053651352543,W
SOUTHERN U,FL A&M,-3.0,4.587093809748508,-8.0,7.587093809748508,L,51.5,58.5558368146099,78.0,7.055836814609897,W
IDAHO ST,N ARIZONA,3.0,4.591579602221012,-13.0,1.591579602221012,L,63.0,69.82867948268202,49.0,6.82867948268202,L
CAL POLY,MONTANA ST,-21.2,-4.280352746044724,-17.0,16.919647253955276,W,55.5,55.55781915792298,51.0,0.05781915792297809,L
S DAK ST,N DAK ST,-5.0,-1.7203847128913212,-31.0,3.279615287108679,L,45.5,50.98729908912906,45.0,5.48729908912906,L
