game_id,home_team,away_team,provider,pred_spread,line_spread_home,actual_margin,spread_result,pred_total,line_total,actual_total,total_result
401752883,Nebraska,Northwestern,DraftKings,11.783310683099655,-7.0,7,W,49.51483210797109,44.5,49,W
401752884,Purdue,Rutgers,DraftKings,5.375384193895965,-2.5,-3,L,63.4780279992746,60.5,51,L
401754571,Georgia Tech,Syracuse,DraftKings,18.47890613391499,-17.5,25,W,57.723701757508806,52.5,57,W
401754573,North Carolina,Virginia,DraftKings,-13.600792651631425,11.5,-1,W,52.57959894607157,50.5,33,L
401761635,Old Dominion,App State,DraftKings,16.24357979665863,-13.5,3,W,55.38439421275899,62.5,45,W
401752750,Oklahoma,Ole Miss,DraftKings,9.671224727408733,-5.5,-8,L,49.743819426294664,52.5,60,L
401762846,Kent State,Bowling Green,DraftKings,-5.3216228479318275,7.5,3,W,47.38017577778385,47.5,45,W
401762494,Memphis,South Florida,DraftKings,1.5038213724127032,3.5,3,W,57.07764984467482,58.5,65,L
401756932,Kansas,Kansas State,DraftKings,7.163026189627011,-3.5,-25,L,58.66148060259927,55.5,59,W
401762848,Eastern Michigan,Ohio,DraftKings,-10.88903971000758,11.5,-7,W,60.97051998275802,60.5,49,L
401752942,Wake Forest,SMU,DraftKings,-2.113651996663894,5.5,1,W,49.70671723011546,52.5,25,W
401752885,Indiana,UCLA,DraftKings,31.12337862800276,-26.5,50,W,56.99276170389726,53.5,62,W
401752746,Arkansas,Auburn,DraftKings,-0.4880347498122779,-2.5,-9,L,62.762904065793265,56.5,57,W
401762844,Buffalo,Akron,DraftKings,15.642352006595855,-10.0,-8,W,47.71598061094321,48.5,40,W
401757172,Rice,UConn,DraftKings,-14.011020859651108,10.5,3,W,53.55638319035016,48.5,71,W
401760400,New Mexico,Utah State,DraftKings,4.267745986036701,-3.0,19,W,60.42684105910148,61.5,47,W
401762495,Tulsa,Temple,DraftKings,-6.509718403862727,4.5,-1,W,53.056670979947555,52.5,75,W
401752880,Washington,Illinois,DraftKings,11.072096547209746,-3.5,17,W,64.2262447032779,54.5,67,W
401756931,Iowa State,BYU,DraftKings,-5.059390525844761,-2.5,-14,W,52.171078243003166,48.5,68,W
401761637,Southern Miss,UL Monroe,DraftKings,16.141807137272885,-14.0,28,W,49.41457726332932,48.5,70,W
401762493,Navy,Florida Atlantic,DraftKings,19.538654688051015,-14.5,10,W,67.56913717682603,63.5,74,W
401762845,Northern Illinois,Ball State,DraftKings,7.801043222718745,-6.5,14,W,44.2324075916799,41.5,28,L
401752751,South Carolina,Alabama,DraftKings,-8.072517311821823,11.5,-7,W,48.92540382170185,47.5,51,W
401760399,Fresno State,San Diego State,DraftKings,-10.615161953011892,3.0,-23,W,46.473431480797686,46.5,23,W
401754574,Pittsburgh,NC State,DraftKings,10.434152818059244,-4.5,19,W,55.48681574988139,52.5,87,W
401762847,Central Michigan,Massachusetts,DraftKings,18.26055838059331,-16.5,25,W,47.98437993182965,46.5,51,W
401762874,Miami (OH),Western Michigan,DraftKings,1.2752916941857586,-2.5,9,W,41.20390858983241,40.5,43,W
401752882,Iowa,Minnesota,DraftKings,11.462067180239607,-7.5,38,W,43.52939163413761,39.5,44,W
401752752,Vanderbilt,Missouri,DraftKings,3.098983551819926,-3.0,7,W,62.61174692745034,52.5,27,L
401752952,Washington State,Toledo,DraftKings,-14.2004859145615,1.5,21,L,46.93786747789754,44.5,35,L
401756930,Cincinnati,Baylor,DraftKings,13.406779200772467,-3.5,21,W,65.01559551877219,68.5,61,W
401756933,Texas Tech,Oklahoma State,DraftKings,45.471353438548384,-37.5,42,W,51.94316545890324,56.5,42,W
401752749,Mississippi State,Texas,DraftKings,-2.4161866124919853,8.5,-7,W,44.7320629177467,48.5,83,L
401756935,West Virginia,TCU,DraftKings,-10.788370749038862,16.5,-6,W,55.85311178859254,55.5,40,L
401754572,Miami,Stanford,DraftKings,26.618982927495207,-28.5,35,W,50.58136848215506,45.5,49,W
401752886,Oregon,Wisconsin,DraftKings,37.994624422390416,-31.5,14,W,53.34289713475698,44.5,28,L
401761638,Troy,Louisiana,DraftKings,11.778466126086537,-7.0,12,W,53.31863804260412,47.5,58,W
401761636,Arkansas State,Georgia Southern,DraftKings,2.81319910443724,1.5,10,W,61.90746323826048,59.5,58,L
401752881,Michigan State,Michigan,DraftKings,-14.200214737221792,13.5,-11,W,57.302311618087046,47.5,51,W
401754570,Louisville,Boston College,DraftKings,22.21295265920067,-25.5,14,W,48.59964370363106,54.5,62,L
401760398,Wyoming,Colorado State,DraftKings,4.413375097082481,-5.5,28,W,49.07853928682326,46.5,28,L
401752748,LSU,Texas A&M,DraftKings,0.2786874133897323,1.5,-24,W,53.64792900140567,50.5,74,W
401752747,Kentucky,Tennessee,DraftKings,-8.966338738401102,7.5,-22,W,55.09175045502168,55.5,90,L
401756929,Arizona State,Houston,DraftKings,3.7054725431987063,-7.0,-8,L,47.796563427606415,46.5,40,L
401756934,Utah,Colorado,DraftKings,21.268461950318404,-14.0,46,W,53.797057576656115,49.5,60,W
